StartCap,Slots,Alloc%,TP%,SL%,1YrFinalCap,Return%,WinRate%,MaxDD%,Trades,HitCrore
500000.0,2,50.0,2.5,0.5,1446348.8599570598,189.26977199141194,37.149532710280376,50.0,428,False
500000.0,2,50.0,2.0,0.5,1380288.2845035554,176.05765690071107,42.79176201372998,50.0,437,False
500000.0,2,50.0,3.0,0.5,1378470.1423028256,175.6940284605651,31.59144893111639,50.0,421,False
500000.0,3,33.3,2.5,0.5,1368024.4469421564,173.6048893884313,38.20754716981132,48.14814814814815,636,False
500000.0,3,33.3,2.0,0.5,1334794.777621294,166.95895552425876,44.5468509984639,48.14814814814815,651,False
500000.0,3,33.3,3.0,0.5,1311876.3050074726,162.37526100149452,32.26837060702875,48.14814814814816,626,False
500000.0,2,50.0,1.5,0.5,1297866.553291815,159.573310658363,51.87637969094923,50.0,453,False
500000.0,3,33.3,1.5,0.5,1248769.6056972556,149.7539211394511,53.96113602391629,48.14814814814816,669,False
500000.0,5,20.0,2.5,0.5,1236962.1568342082,147.39243136684163,37.45136186770428,45.54952309724716,1028,False
500000.0,5,20.0,2.0,0.5,1230126.176581599,146.0252353163198,44.59203036053131,43.03999999999999,1054,False
500000.0,5,20.0,1.5,0.5,1206060.1728791671,141.21203457583343,55.02304147465438,43.04,1085,False
500000.0,5,20.0,3.0,0.5,1205484.6581908597,141.09693163817195,31.854043392504934,45.558196917857835,1014,False
500000.0,2,50.0,1.0,0.5,1135343.73067101,127.06874613420199,63.99132321041214,50.0,461,False
500000.0,3,33.3,1.0,0.5,1087348.2687265603,117.46965374531206,65.59297218155197,48.14814814814814,683,False
500000.0,5,20.0,1.0,0.5,1043847.0918909954,108.76941837819909,66.00181323662738,43.04000000000001,1103,False
500000.0,2,50.0,2.5,1.0,1004435.683097442,100.88713661948843,40.88541666666667,50.51172439522035,384,False
500000.0,2,50.0,2.0,1.0,998911.2084585221,99.78224169170443,46.81933842239186,50.13963988242636,393,False
500000.0,3,33.3,2.5,1.0,955640.3174964547,91.12806349929095,40.9660107334526,49.03098390878814,559,False
