Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL
APOLLO.NS,2021-12-23,2022-01-21,11.95,10,15,12.02,15.19,27.2,0.4875,1.541,3,2.02,16.927,989,2945.31,147.29,True,170577.63
INFY.NS,2021-12-23,2022-01-21,1632.26,1630,1735,1665.9,1569.08,-3.87,0.2243,0.976,3,35.9,2.2,55,-1974.63,-100.0,False,168603.0
ANANTRAJ.NS,2021-12-23,2022-01-21,73.86,75,80,76.83,82.24,11.35,0.5774,1.127,3,1.83,2.475,1094,3470.02,173.5,True,172073.02000000002
TCS.NS,2021-12-23,2022-01-21,3187.89,3190,3360,3247.49,3342.41,4.85,0.1866,0.976,3,57.49,1.803,34,3227.36,165.12,True,175300.38
TITAN.NS,2021-12-23,2022-01-21,2292.2,2290,2475,2352.49,2487.24,8.51,0.2997,0.832,4,62.49,2.726,32,3920.17,196.02,True,179220.55000000002
ABREL.NS,2021-12-23,2022-01-21,876.44,875,945,902.58,935.77,6.77,0.6454,1.096,4,27.58,3.147,72,2390.2,120.38,True,181610.75
ABCAPITAL.NS,2021-12-23,2022-01-21,118.1,120,130,123.06,123.3,4.4,0.3893,1.095,3,3.06,2.588,654,159.21,7.96,True,181769.96000000002
ABREL.NS,2021-12-24,2022-01-24,899.83,900,970,927.17,867.18,-3.63,0.5756,1.128,3,27.17,3.02,73,-1983.48,-100.0,False,179786.48000000004
ANGELONE.NS,2021-12-24,2022-01-24,106.1,105,115,108.91,123.59,16.49,0.5388,0.841,4,3.91,3.689,510,3103.84,155.49,True,182890.32
APOLLO.NS,2021-12-24,2022-01-24,12.63,15,20,15.12,14.44,14.33,0.5058,1.66,4,0.12,0.972,16287,-1999.93,-100.0,False,180890.39
TITAN.NS,2021-12-24,2022-01-24,2281.92,2280,2445,2335.18,2364.17,3.6,0.2524,0.78,3,55.18,2.418,36,1043.39,52.52,True,181933.78000000003
ANGELONE.NS,2021-12-27,2022-01-25,104.44,105,115,108.41,130.16,24.62,0.4666,0.848,4,3.41,3.267,586,3860.79,193.12,True,185794.57
APOLLO.NS,2021-12-27,2022-01-25,14.27,15,20,15.74,14.2,-0.49,0.6438,1.567,4,0.74,5.155,2718,-1999.92,-100.0,False,183794.65000000002
ICICIBANK.NS,2021-12-27,2022-01-25,713.93,715,765,731.17,777.62,8.92,0.2424,0.86,4,16.17,2.265,123,4160.86,209.18,True,187955.51
TITAN.NS,2021-12-27,2022-01-25,2293.58,2295,2455,2347.97,2338.04,1.94,0.2482,0.811,4,52.97,2.31,37,-367.41,-18.74,False,187588.10000000003
