Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,HV,RSI,Debit/unit,Debit_pct,Units,PnL/unit,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore,Capital
ARMANFIN.NS,2022-08-17,2022-10-03,1435.35,1435,1480,1454.79,1339.05,0.6249,63.9,19.79,1.379,5383858111008689274549013999123652884810727271980871620066252753332202373120,-19.79,-1.0653621719421377e+77,-100.0,False,1,1,1,0,1,2,5.220274642516475e+78
APOLLOTYRE.NS,2022-08-17,2022-10-03,248.47,250,255,252.22,252.24,0.2834,93.8,2.22,0.894,41222715704600536886168064340507712449733173389923352482707365331363279405056,0.02,8.948445079337052e+74,0.98,True,1,1,0,1,1,2,4.581662618823403e+78
ARTEMISMED.NS,2022-08-18,2022-10-04,57.06,55,60,57.25,60.09,0.6768,59.8,2.25,3.947,33396956298894872219571118146711115430172322796682657332880734312159005114368,2.75,9.176459281691197e+76,121.99,True,1,1,1,1,1,3,3.852774026695031e+78
ADANIPOWER.NS,2022-08-18,2022-10-04,79.89,80,85,82.02,70.5,0.4159,81.0,2.02,2.526,981786030952082315007906564148697350842806389657154102427816781213174071296,-2.02,-1.981461009659255e+75,-100.0,False,1,1,0,1,1,2,9.70915894733035e+76
AMDIND.NS,2022-08-18,2022-10-04,92.7,95,100,96.9,72.55,1.0125,92.5,1.9,2.051,809603347688878117157424785324705875901315877447673866265340147133493280768,-1.9,-1.5395868147584236e+75,-100.0,False,1,1,0,1,1,2,7.543975392316275e+76
ARMANFIN.NS,2022-08-18,2022-10-04,1447.75,1450,1490,1467.59,1367.15,0.625,64.7,17.59,1.215,5934626214459049905112231877458188813291617700791581953710857624926961008640,-17.59,-1.0440549285032951e+77,-100.0,False,1,1,1,1,1,3,5.115869149666146e+78
ADANIENSOL.NS,2022-08-18,2022-10-04,3599.55,3600,3710,3649.3,3318.6,0.3922,78.5,49.3,1.37,90753130698819160090156163326087126353772342460748996696551542305360707584,-49.3,-4.474086085729439e+75,-100.0,False,1,1,1,0,1,2,2.192302182007425e+77
APOLLOTYRE.NS,2022-08-18,2022-10-04,254.68,255,260,257.32,260.32,0.2862,94.1,2.32,0.912,39456554995432995282555077998311184929871370503479942616254635622844269068288,2.68,1.0564952260069693e+77,115.3,True,1,1,0,1,1,2,4.6873121414241e+78
ARCHIDPLY.NS,2022-08-18,2022-10-04,83.3,85,90,86.92,82.55,0.919,67.6,1.92,2.302,64519139182778252135195081607180606216826810313002485964798215752261040078848,-1.92,-1.2372504817895316e+77,-100.0,False,1,1,1,1,1,3,6.062527360768704e+78
ADANIENT.NS,2022-08-18,2022-10-04,3147.92,3150,3240,3190.3,3231.82,0.2409,96.2,40.3,1.28,84615885188465057327112050473764894036079282198118075221010990632865366016,41.52,3.5130021479455927e+75,103.01,True,1,1,0,1,1,2,1.740257373623731e+77
ASTRAMICRO.NS,2022-08-19,2022-10-06,306.16,305,315,309.5,310.97,0.5291,69.4,4.5,1.47,56248007478666662899848913202659822464424276394145849065407633779128837079040,1.47,8.271315900593925e+76,32.67,True,1,1,1,1,1,3,1.2739921186585202e+79
ADANIPOWER.NS,2022-08-19,2022-10-06,82.39,80,85,82.43,74.02,0.4062,81.4,2.43,2.954,797781710967061859502729300823419332628347850903596720589455479830325755904,-2.43,-1.9418317894660702e+75,-100.0,False,1,1,0,1,1,2,9.514975768383744e+76
ARTEMISMED.NS,2022-08-19,2022-10-06,59.84,60,65,61.96,60.79,0.6888,67.4,1.96,3.278,39277875462016061393584707612663436165155133789987965635816449907649486520320,-1.17,-4.604989627159887e+76,-59.76,False,1,1,1,1,1,3,3.806724130423432e+78
ADANIENSOL.NS,2022-08-19,2022-10-06,3635.25,3635,3745,3684.41,3358.75,0.3895,78.9,49.41,1.359,88737850422314403210171256256958393754156217648198249139027874546276368384,-49.41,-4.38460436401485e+75,-100.0,False,1,1,1,0,1,2,2.1484561383672764e+77
ABINFRA.NS,2022-08-19,2022-10-06,1.31,5,10,5.0,1.46,0.3443,,0.0,0.0,65796600065935393900052382366624065107582098049083636101106316975258607426237352340854782789191341178880,-0.0,-2.5952143201178305e+74,-100.0,False,1,1,0,1,1,2,1.271655016857737e+76
AMDIND.NS,2022-08-19,2022-10-06,101.82,100,105,102.14,72.2,1.0203,93.5,2.14,2.097,706502448908059305258532136015058898234514884071234450734086026211604037632,-2.14,-1.508795078463255e+75,-100.0,False,1,1,0,1,1,2,7.393095884469949e+76
ARMANFIN.NS,2022-08-19,2022-10-06,1457.45,1455,1500,1474.92,1404.6,0.6241,62.5,19.92,1.367,5135803363791890065088140895558370234326569873505193109734048448794402488320,-19.92,-1.0231738299332291e+77,-100.0,False,1,1,1,0,1,2,5.013551766672823e+78
ADANIPOWER.NS,2022-08-22,2022-10-07,86.5,85,90,87.29,74.57,0.4206,88.0,2.29,2.648,830791996152744879747368259386163766092270975802535338413807060273686642688,-2.29,-1.9029951536767486e+75,-100.0,False,1,1,0,1,1,2,9.324676253016069e+76
ADL.NS,2022-08-22,2022-10-07,61.9,60,65,62.35,74.15,0.3271,57.5,2.35,3.789,763072109903999381681615483659437988841510363386583129373416582844025667584,2.65,2.0254642099159776e+75,113.16,True,1,1,1,1,1,3,9.152028119011695e+76
