Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV,RSI,Debit/unit,Debit_%S,Max_Profit,Units,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore
ABCAPITAL.NS,2025-11-03,2025-12-18,334.25,335,345,339.41,344.25,2.99,0.2784,79.7,4.41,1.318,2534.1,453,2194.35,109.94,True,1,1,1,0,1,2
TITAN.NS,2025-11-04,2025-12-19,3801.03,3800,3915,3851.31,3917.25,3.06,0.2126,77.3,51.31,1.35,2420.14,38,2420.14,124.12,True,1,1,1,1,1,3
ABCAPITAL.NS,2025-11-07,2025-12-23,338.1,340,350,344.28,346.8,2.57,0.2814,78.3,4.28,1.267,2663.89,466,1172.68,58.75,True,1,1,1,1,1,3
TITAN.NS,2025-11-12,2025-12-29,3838.5,3840,3955,3890.19,3970.67,3.44,0.1659,64.4,50.19,1.307,2527.69,39,2527.69,129.14,True,1,1,1,0,1,2
ASIANPAINT.NS,2025-11-13,2025-12-30,2850.18,2850,2935,2888.25,2734.57,-4.06,0.2813,87.4,38.25,1.342,2431.25,52,-1988.75,-100.0,False,1,1,0,1,1,2
ASIANPAINT.NS,2025-11-14,2025-12-31,2876.91,2875,2965,2915.44,2745.68,-4.56,0.2768,88.1,40.44,1.406,2428.42,49,-1981.58,-100.0,False,1,1,0,1,1,2
TITAN.NS,2025-11-17,2026-01-01,3855.95,3855,3970,3905.36,4036.06,4.67,0.1512,67.9,50.36,1.306,2520.88,39,2520.88,128.35,True,1,1,1,0,1,2
TITAN.NS,2025-11-18,2026-01-02,3866.51,3865,3985,3917.11,4038.45,4.45,0.1493,73.4,52.11,1.348,2579.94,38,2579.94,130.3,True,1,1,1,0,1,2
TITAN.NS,2025-11-19,2026-01-05,3920.24,3920,4040,3971.89,4066.36,3.73,0.1459,75.0,51.89,1.324,2588.37,38,2588.37,131.28,True,1,1,1,1,1,3
RELIANCE.NS,2025-11-20,2026-01-06,1541.97,1540,1590,1561.85,1500.66,-2.68,0.1545,73.1,21.85,1.417,2561.73,91,-1988.27,-100.0,False,1,1,1,1,1,3
ABCAPITAL.NS,2025-11-25,2026-01-09,345.45,345,355,349.56,353.85,2.43,0.3055,61.8,4.56,1.321,2381.05,438,1877.36,93.92,True,1,1,1,1,1,3
ABCAPITAL.NS,2025-11-26,2026-01-12,349.8,350,360,354.5,355.25,1.56,0.3066,69.2,4.5,1.287,2440.78,444,331.78,16.6,True,1,1,1,0,1,2
RELIANCE.NS,2025-11-26,2026-01-12,1562.67,1565,1610,1584.24,1476.37,-5.52,0.1462,76.4,19.24,1.231,2653.15,103,-1981.85,-100.0,False,1,1,1,0,1,2
ABCAPITAL.NS,2025-11-27,2026-01-13,351.75,350,360,354.71,350.85,-0.26,0.3037,63.6,4.71,1.338,2244.1,424,-1635.5,-81.94,False,1,1,1,0,1,2
ABCAPITAL.NS,2025-11-28,2026-01-14,358.05,360,370,364.3,358.6,0.15,0.26,73.6,4.3,1.201,2650.34,465,-1999.66,-100.0,False,1,1,1,1,1,3
ASIANPAINT.NS,2025-12-02,2026-01-16,2928.99,2930,3015,2968.22,2733.19,-6.68,0.272,76.9,38.22,1.305,2432.62,52,-1987.38,-100.0,False,1,1,1,0,1,2
ASIANPAINT.NS,2025-12-04,2026-01-20,2931.76,2930,3020,2970.32,2652.59,-9.52,0.2273,62.6,40.32,1.375,2434.51,49,-1975.49,-100.0,False,1,1,1,0,1,2
ASIANPAINT.NS,2025-12-05,2026-01-21,2942.97,2945,3030,2982.91,2638.21,-10.36,0.2274,70.0,37.91,1.288,2448.45,52,-1971.55,-100.0,False,1,1,1,0,1,2
ABCAPITAL.NS,2025-12-05,2026-01-21,358.75,360,370,364.35,346.25,-3.48,0.2299,70.1,4.35,1.213,2591.82,459,-1998.18,-100.0,False,1,1,1,0,1,2
ABCAPITAL.NS,2025-12-09,2026-01-23,364.05,365,375,369.4,347.45,-4.56,0.2218,76.1,4.4,1.207,2544.38,454,-1995.62,-100.0,False,1,1,1,1,1,3
MARUTI.NS,2025-12-12,2026-01-29,16522.0,16520,17020,16739.49,14502.0,-12.23,0.1669,62.6,219.49,1.328,2524.61,9,-1975.39,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2025-12-22,2026-02-06,16649.0,16650,17150,16869.11,14997.0,-9.92,0.1653,60.8,219.11,1.316,2528.0,9,-1972.0,-100.0,False,1,1,1,0,1,2
TITAN.NS,2025-12-22,2026-02-06,3920.93,3920,4040,3971.91,4127.46,5.27,0.142,56.1,51.91,1.324,2587.34,38,2587.34,131.16,True,1,1,1,0,1,2
RELIANCE.NS,2025-12-22,2026-02-06,1568.15,1570,1615,1588.9,1444.12,-7.91,0.1189,63.7,18.9,1.205,2740.91,105,-1984.09,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2025-12-24,2026-02-10,16703.0,16705,17205,16923.19,15146.0,-9.32,0.1572,69.3,218.19,1.306,2536.29,9,-1963.71,-100.0,False,1,1,1,0,1,2
TITAN.NS,2025-12-26,2026-02-11,3978.94,3980,4100,4032.1,4235.2,6.44,0.1553,72.3,52.1,1.309,2580.3,38,2580.3,130.34,True,1,1,1,1,1,3
TITAN.NS,2025-12-31,2026-02-16,4038.25,4040,4160,4092.47,4167.43,3.2,0.1677,78.3,52.47,1.299,2565.96,38,2565.96,128.68,True,1,1,1,1,1,3
MARUTI.NS,2026-01-01,2026-02-17,16708.0,16710,17210,16925.12,15179.0,-9.15,0.1351,66.6,215.12,1.288,2563.92,9,-1936.08,-100.0,False,1,1,1,0,1,2
APLAPOLLO.NS,2026-01-01,2026-02-17,1970.0,1970,2030,1996.49,2224.5,12.92,0.1901,92.8,26.49,1.345,2512.95,75,2512.95,126.47,True,1,1,0,1,1,2
RELIANCE.NS,2026-01-01,2026-02-17,1568.35,1570,1615,1588.92,1416.45,-9.69,0.1174,61.6,18.92,1.206,2738.85,105,-1986.15,-100.0,False,1,1,1,0,1,2
TITAN.NS,2026-01-02,2026-02-18,4038.45,4040,4160,4091.98,4234.7,4.86,0.1489,75.8,51.98,1.287,2584.71,38,2584.71,130.85,True,1,1,1,0,1,2
RELIANCE.NS,2026-01-02,2026-02-18,1584.97,1585,1635,1605.95,1434.67,-9.48,0.1212,63.0,20.95,1.322,2759.7,95,-1990.3,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2026-01-02,2026-02-18,16960.0,16960,17470,17180.36,15164.0,-10.59,0.1396,66.1,220.36,1.299,2606.73,9,-1983.27,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2026-01-05,2026-02-19,17155.0,17155,17670,17376.38,14903.0,-13.13,0.1322,75.5,221.38,1.29,2642.55,9,-1992.45,-100.0,False,1,1,1,0,1,2
TITAN.NS,2026-01-06,2026-02-20,4098.35,4100,4220,4151.78,4222.54,3.03,0.1382,79.0,51.78,1.264,2592.2,38,2592.2,131.73,True,1,1,1,0,1,2
TITAN.NS,2026-01-07,2026-02-23,4259.22,4260,4385,4315.16,4258.73,-0.01,0.1745,90.2,55.16,1.295,2514.11,36,-1985.89,-100.0,False,1,1,0,1,1,2
AIIL.NS,2026-01-13,2026-02-27,667.9,670,690,678.79,481.85,-27.86,0.4912,73.1,8.79,1.316,2545.05,227,-1994.95,-100.0,False,1,1,1,1,1,3
APLAPOLLO.NS,2026-01-22,2026-03-11,1976.0,1975,2035,2002.03,2016.3,2.04,0.2739,56.8,27.03,1.368,2440.05,74,1056.26,52.81,True,1,1,1,1,1,3
APLAPOLLO.NS,2026-01-27,2026-03-13,2060.6,2060,2120,2087.14,1933.2,-6.18,0.2886,65.8,27.14,1.317,2398.94,73,-1981.06,-100.0,False,1,1,1,1,1,3
APLAPOLLO.NS,2026-01-28,2026-03-16,2091.0,2090,2155,2119.21,1893.7,-9.44,0.2895,68.3,29.21,1.397,2434.01,68,-1985.99,-100.0,False,1,1,1,0,1,2
APARINDS.NS,2026-02-03,2026-03-20,9759.0,9760,10050,9886.0,9673.0,-0.88,0.7406,77.4,126.0,1.291,2459.98,15,-1890.02,-100.0,False,1,1,1,1,1,3
APLAPOLLO.NS,2026-02-03,2026-03-20,2137.5,2140,2200,2166.92,1973.1,-7.69,0.2845,76.0,26.92,1.259,2448.23,74,-1991.77,-100.0,False,1,1,1,1,1,3
APLAPOLLO.NS,2026-02-04,2026-03-23,2174.2,2175,2240,2204.13,1893.9,-12.89,0.2833,76.4,29.13,1.34,2439.09,68,-1980.91,-100.0,False,1,1,1,0,1,2
APLAPOLLO.NS,2026-02-05,2026-03-24,2182.1,2180,2250,2211.44,1974.4,-9.52,0.2828,76.8,31.44,1.441,2429.33,63,-1980.67,-100.0,False,1,1,1,0,1,2
APLAPOLLO.NS,2026-02-06,2026-03-25,2198.0,2200,2265,2228.99,1998.6,-9.07,0.268,77.3,28.99,1.319,2448.36,68,-1971.64,-100.0,False,1,1,1,1,1,3
TITAN.NS,2026-02-12,2026-04-02,4261.82,4260,4390,4317.95,4083.8,-4.18,0.2064,71.3,57.95,1.36,2449.72,34,-1970.28,-100.0,False,1,1,1,0,1,2
APARINDS.NS,2026-02-18,2026-04-09,10182.0,10180,10485,10313.26,10767.0,5.75,0.701,85.7,133.26,1.309,2576.12,15,2576.12,128.88,True,1,1,0,1,1,2
APARINDS.NS,2026-02-20,2026-04-13,10519.0,10520,10835,10657.41,11115.0,5.67,0.7056,82.8,137.41,1.306,2486.29,14,2486.29,129.24,True,1,1,0,1,1,2
APARINDS.NS,2026-02-23,2026-04-15,10690.0,10690,11010,10829.97,11207.0,4.84,0.6862,71.5,139.97,1.309,2520.42,14,2520.42,128.62,True,1,1,1,0,1,2
TITAN.NS,2026-02-24,2026-04-16,4280.45,4280,4410,4337.79,4446.81,3.89,0.2077,63.0,57.79,1.35,2455.07,34,2455.07,124.94,True,1,1,1,0,1,2
TITAN.NS,2026-02-25,2026-04-17,4310.85,4310,4440,4367.89,4511.1,4.65,0.2052,70.3,57.89,1.343,2451.6,34,2451.6,124.55,True,1,1,1,0,1,2
TITAN.NS,2026-02-26,2026-04-20,4328.4,4330,4460,4387.45,4498.24,3.92,0.1992,68.8,57.45,1.327,2466.85,34,2466.85,126.3,True,1,1,1,0,1,2
