Slots,Alloc%,UnderlyingTP%,EffectiveOptionsTP%,StopLoss%,FinalCapital,TotalReturn%,CAGR%,WinRate%,MaxDD%,Trades
3,33.3,12.5,31.25,4,3.00401E+13,30040112777,605.2625458,31.22878479,61.76757436,1473
1,100,12.5,31.25,1.5,2.73919E+13,27391925161,598.7795314,18.43043995,100,841
3,33.3,15,37.5,1.5,1.67858E+13,16785787844,565.3612822,17.79769526,48.28963562,2343
3,33.3,12.5,31.25,8,1.33677E+13,13367748856,550.3728563,34.66453674,60.7134734,1252
2,50,12.5,31.25,8,1.00107E+13,10010668063,531.8213301,35.50724638,78.06671661,828
1,100,8,20,8,9.95111E+12,9951114586,531.4441914,40.32586558,60.02446638,491
2,50,15,37.5,1.5,9.20738E+12,9207376881,526.5548286,17.79497099,56.43481037,1551
2,50,12.5,31.25,4,9.15323E+12,9153226086,526.1851048,31.21852971,100,993
1,100,15,37.5,4,7.34678E+12,7346775537,512.5597424,31.73913043,100,460
3,33.3,15,37.5,4,4.92193E+12,4921926109,488.4917358,30.03533569,66.37831507,1415
3,33.3,15,37.5,2,3.9236E+12,3923598524,475.2923152,20.0096432,49.52440433,2074
2,50,15,37.5,4,3.70764E+12,3707641101,472.0423753,30.05347594,100,935
2,50,15,37.5,8,3.06567E+12,3065673631,461.2616504,33.41677096,80.51371732,799
1,100,15,37.5,8,2.81863E+12,2818629640,456.5626774,35,100,400
2,50,15,37.5,2,1.24996E+12,1249955518,413.0687317,19.62962963,56.12451994,1350
3,33.3,15,37.5,8,1.23074E+12,1230739142,412.2739038,33.53293413,61.52621309,1169
1,100,25,62.5,1,1.20629E+12,1206290826,411.2463696,14.33778858,100,823
1,100,15,37.5,2,1.00878E+12,1008776849,402.1797857,21.22093023,100,688
3,33.3,25,62.5,1,6.67798E+11,667798356.8,381.8723228,13.41904379,55.16275072,2489
1,100,15,37.5,1.5,6.5365E+11,653649598,380.8407999,18.59229748,100,753
2,50,25,62.5,1,2.24367E+11,224367054.5,332.0469317,13.32116788,63.67885903,1644
3,33.3,25,62.5,4,68534060614,68533960.61,283.6987338,28.89245586,45.6669191,1246
3,33.3,25,62.5,1.5,61755092563,61754992.56,279.7203733,15.89184061,61.37014478,2108
1,100,25,62.5,2,42234789688,42234689.69,265.5546843,19.27512356,100,607
3,33.3,25,62.5,2,37668956948,37668856.95,261.3934493,19.1128149,52.55643647,1826
2,50,25,62.5,2,35341824388,35341724.39,259.0946347,18.20428336,72.8033439,1214
2,50,25,62.5,4,29822305174,29822205.17,253.0442069,28.31753555,51.84019486,844
1,100,25,62.5,1.5,28730920256,28730820.26,251.729515,17.23625557,100,673
2,50,50,125,1,26676697920,26676597.92,249.1281442,12.75773196,63.38854945,1552
3,33.3,50,125,1,25970838660,25970738.66,248.1925324,13.06620209,58.85104845,2296
2,50,25,62.5,8,22124461553,22124361.55,242.6520687,35.0148368,75.3736264,674
1,100,50,125,1,18756502467,18756402.47,237.0360534,13.82113821,100,738
3,33.3,25,62.5,8,13958805306,13958705.31,227.2180196,33.23643411,60.66468264,1032
2,50,25,62.5,1.5,12938865434,12938765.43,224.7429634,15.89595376,60.9898654,1384
1,100,25,62.5,4,11437518241,11437418.24,220.7595836,31.98090692,100,419
1,100,25,62.5,8,4950755714,4950655.714,194.9773723,37.1257485,100,334
1,100,50,125,1.5,717396831.5,717296.8315,143.1308333,17.1009772,100,614
3,33.3,50,125,8,488059995.6,487959.9956,133.9375603,32.66596417,82.41660473,949
3,33.3,50,125,2,414072369.3,413972.3693,130.1205324,19.29824561,70.58728977,1653
3,33.3,50,125,1.5,408615838,408515.838,129.8152637,16.05648536,63.29332459,1912
1,100,50,125,8,296830947.9,296730.9479,122.5813443,34.3373494,100,332
2,50,50,125,8,247310583.7,247210.5837,118.5529556,33.22884013,72.03850257,638
2,50,50,125,1.5,151036916,150936.916,108.0300418,15.91804571,64.7033401,1269
2,50,50,125,2,148332948,148232.948,107.6543202,18.1981982,75.22111256,1110
3,33.3,50,125,4,75017312.95,74917.31295,93.96040366,29.30107527,75.21205643,1116
1,100,50,125,2,72137327.52,72037.32752,93.20206736,18.21428571,100,560
2,50,50,125,4,26266028.5,26166.0285,74.62449094,28.26948481,74.95869236,757
1,100,50,125,4,3278690.561,3178.690561,41.7992253,29.7029703,100,404
