Ticker,Final_Equity,CAGR_%,Win_Rate_%,Profit_Factor,MDD_%,Total_Trades
BTC-USD,50164.97,-6.67,30.8,0.71,-51.52,91
ETH-USD,48209.81,-7.04,29.6,0.43,-54.93,71
NIFTY50,61319.54,-4.77,23.8,0.38,-38.68,42
