Ticker,Final_Equity,CAGR_%,Win_Rate_%,Profit_Factor,MDD_%,Total_Trades
BTC-USD,356318.48,13.55,60.0,2.86,-10.16,75
ETH-USD,271968.72,10.52,52.9,2.06,-10.16,68
NIFTY50,103549.5,0.35,50.0,2.18,-2.64,4
