StartCap,Mode,Slots,Alloc%,TP%,SL%,1YrFinalCap,Return%,WinRate%,MaxDD%,Trades,Hit10Crore
500000.0,1x2 Options Spreads,1,100.0,10.0,1.0,19494360.97330955,3798.8721946619103,30.23255813953488,100.0,172,False
500000.0,1x2 Options Spreads,1,100.0,7.5,1.0,19192520.930453077,3738.504186090616,35.82887700534759,100.0,187,False
500000.0,1x2 Options Spreads,1,100.0,10.0,1.5,16844157.648276802,3268.8315296553606,35.76158940397351,100.0,151,False
500000.0,1x2 Options Spreads,1,100.0,7.5,1.5,15888030.224024627,3077.606044804925,40.963855421686745,100.0,166,False
500000.0,1x2 Options Spreads,1,100.0,12.5,1.0,14689707.325959068,2837.9414651918137,25.153374233128833,100.0,163,False
500000.0,1x2 Options Spreads,1,100.0,12.5,1.5,13947442.963201992,2689.488592640398,31.61764705882353,100.0,136,False
500000.0,1x2 Options Spreads,2,50.0,7.5,1.5,10438629.371781483,1987.7258743562966,42.901234567901234,50.0,324,False
500000.0,1x2 Options Spreads,2,50.0,12.5,1.5,10130929.689049438,1926.1859378098875,31.92307692307692,50.0,260,False
500000.0,1x2 Options Spreads,2,50.0,10.0,1.0,9608985.661421228,1821.7971322842454,27.988338192419825,50.0,343,False
500000.0,1x2 Options Spreads,2,50.0,7.5,1.0,9417396.670166306,1783.4793340332612,35.50135501355013,50.0,369,False
500000.0,1x2 Options Spreads,2,50.0,10.0,1.5,9370007.209332507,1774.0014418665016,34.96503496503497,50.0,286,False
500000.0,1x2 Options Spreads,2,50.0,12.5,1.0,8954666.53508595,1690.9333070171901,24.050632911392405,50.0,316,False
200000.0,1x2 Options Spreads,1,100.0,10.0,1.0,7797744.3893238185,3798.8721946619094,30.23255813953488,100.0,172,False
200000.0,1x2 Options Spreads,1,100.0,7.5,1.0,7677008.372181224,3738.504186090612,35.82887700534759,100.0,187,False
200000.0,1x2 Options Spreads,1,100.0,10.0,1.5,6737663.059310714,3268.831529655357,35.76158940397351,100.0,151,False
200000.0,1x2 Options Spreads,1,100.0,7.5,1.5,6355212.089609856,3077.606044804928,40.963855421686745,100.0,166,False
200000.0,1x2 Options Spreads,1,100.0,12.5,1.0,5875882.930383612,2837.941465191806,25.153374233128833,100.0,163,False
200000.0,1x2 Options Spreads,1,100.0,12.5,1.5,5578977.1852807915,2689.488592640396,31.61764705882353,100.0,136,False
200000.0,1x2 Options Spreads,2,50.0,7.5,1.5,4175451.748712592,1987.725874356296,42.901234567901234,50.0,324,False
200000.0,1x2 Options Spreads,2,50.0,12.5,1.5,4052371.875619771,1926.1859378098854,31.92307692307692,50.0,260,False
100000.0,1x2 Options Spreads,1,100.0,10.0,1.0,3898872.1946619092,3798.8721946619094,30.23255813953488,100.0,172,False
200000.0,1x2 Options Spreads,2,50.0,10.0,1.0,3843594.264568483,1821.7971322842416,27.988338192419825,50.0,343,False
100000.0,1x2 Options Spreads,1,100.0,7.5,1.0,3838504.186090612,3738.504186090612,35.82887700534759,100.0,187,False
200000.0,1x2 Options Spreads,2,50.0,7.5,1.0,3766958.6680665226,1783.4793340332612,35.50135501355013,50.0,369,False
200000.0,1x2 Options Spreads,2,50.0,10.0,1.5,3748002.8837330053,1774.0014418665028,34.96503496503497,50.0,286,False
200000.0,1x2 Options Spreads,2,50.0,12.5,1.0,3581866.614034385,1690.9333070171924,24.050632911392405,50.0,316,False
100000.0,1x2 Options Spreads,1,100.0,10.0,1.5,3368831.529655357,3268.831529655357,35.76158940397351,100.0,151,False
100000.0,1x2 Options Spreads,1,100.0,7.5,1.5,3177606.044804928,3077.606044804928,40.963855421686745,100.0,166,False
100000.0,1x2 Options Spreads,1,100.0,12.5,1.0,2937941.465191806,2837.941465191806,25.153374233128833,100.0,163,False
100000.0,1x2 Options Spreads,1,100.0,12.5,1.5,2789488.5926403957,2689.488592640396,31.61764705882353,100.0,136,False
100000.0,1x2 Options Spreads,2,50.0,7.5,1.5,2087725.874356296,1987.725874356296,42.901234567901234,50.0,324,False
100000.0,1x2 Options Spreads,2,50.0,12.5,1.5,2026185.9378098855,1926.1859378098854,31.92307692307692,50.0,260,False
100000.0,1x2 Options Spreads,2,50.0,10.0,1.0,1921797.1322842415,1821.7971322842416,27.988338192419825,50.0,343,False
100000.0,1x2 Options Spreads,2,50.0,7.5,1.0,1883479.3340332613,1783.4793340332612,35.50135501355013,50.0,369,False
100000.0,1x2 Options Spreads,2,50.0,10.0,1.5,1874001.4418665026,1774.0014418665028,34.96503496503497,50.0,286,False
100000.0,1x2 Options Spreads,2,50.0,12.5,1.0,1790933.3070171925,1690.9333070171924,24.050632911392405,50.0,316,False
500000.0,Equities Stock Hopping,1,100.0,4.0,1.0,1115789.7427883213,123.15794855766428,30.23255813953488,100.0,172,False
500000.0,Equities Stock Hopping,1,100.0,3.0,1.0,1093601.1878624142,118.72023757248283,35.82887700534759,100.0,187,False
500000.0,Equities Stock Hopping,1,100.0,5.0,1.0,996431.4610677336,99.28629221354672,25.153374233128833,100.0,163,False
500000.0,Equities Stock Hopping,2,50.0,3.0,1.0,917440.7433926595,83.4881486785319,35.50135501355013,50.39323181667519,369,False
500000.0,Equities Stock Hopping,1,100.0,4.0,1.5,911513.9356458752,82.30278712917503,35.76158940397351,100.0,151,False
500000.0,Equities Stock Hopping,2,50.0,4.0,1.0,909119.4918603317,81.82389837206634,27.988338192419825,50.0,343,False
500000.0,Equities Stock Hopping,2,50.0,5.0,1.0,894560.5402223164,78.91210804446327,24.050632911392405,50.0,316,False
500000.0,Equities Stock Hopping,1,100.0,5.0,1.5,883010.0752968232,76.60201505936463,31.61764705882353,100.0,136,False
500000.0,Equities Stock Hopping,1,100.0,3.0,1.5,867412.6833977608,73.48253667955218,40.963855421686745,100.0,166,False
500000.0,Equities Stock Hopping,2,50.0,5.0,1.5,862372.139643434,72.4744279286868,31.92307692307692,50.4614954197031,260,False
500000.0,Equities Stock Hopping,2,50.0,3.0,1.5,841111.8158777584,68.22236317555168,42.901234567901234,50.55695877972227,324,False
500000.0,Equities Stock Hopping,2,50.0,4.0,1.5,808472.8321948558,61.69456643897115,34.96503496503497,51.149733306795234,286,False
