Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL,SqueezeBucket
ABCAPITAL.NS,2026-06-05,2026-07-06,357.5,360,385,367.89,409.75,14.62,0.2758,0.77,4,7.89,2.207,253,4328.42,216.79,True,692847.6299999998,0.70-0.80
BAJFINANCE.NS,2026-06-05,2026-07-06,883.97,885,945,904.96,1029.1,16.42,0.2484,0.869,4,19.96,2.258,100,4003.72,200.56,True,696851.3499999997,0.80-0.88
TITAN.NS,2026-06-05,2026-07-06,4246.27,4245,4585,4364.34,4469.73,5.26,0.3448,0.821,4,119.34,2.81,16,1686.34,88.32,True,698537.6899999997,0.80-0.88
ABCAPITAL.NS,2026-06-08,2026-07-07,344.0,345,370,353.35,405.4,17.85,0.2917,0.835,4,8.35,2.429,239,3978.18,199.23,True,702515.8699999998,0.80-0.88
RELIANCE.NS,2026-06-10,2026-07-09,1258.8,1260,1320,1280.8,1279.8,1.67,0.1759,0.869,4,20.8,1.653,96,-96.36,-4.82,False,702419.5099999998,0.80-0.88
ABREL.NS,2026-06-12,2026-07-13,1196.31,1195,1290,1226.18,1434.1,19.88,0.2684,0.737,4,31.18,2.606,64,4084.64,204.71,True,706504.1499999998,0.70-0.80
ABREL.NS,2026-06-15,2026-07-14,1237.84,1240,1330,1269.46,1422.5,14.92,0.2644,0.772,4,29.46,2.38,67,4055.92,205.46,True,710560.0699999998,0.70-0.80
ABB.NS,2026-06-15,2026-07-14,6841.95,6840,7390,7032.5,6811.81,-0.44,0.3432,0.843,4,192.5,2.813,10,-1924.96,-100.0,False,708635.1099999999,0.80-0.88
ABREL.NS,2026-06-16,2026-07-15,1313.41,1315,1420,1350.8,1426.6,8.62,0.3287,0.853,4,35.8,2.726,55,3805.97,193.29,True,712441.0799999998,0.80-0.88
ABB.NS,2026-06-16,2026-07-15,6939.31,6940,7495,7133.17,7120.67,2.61,0.3389,0.817,4,193.17,2.784,10,-124.93,-6.47,False,712316.1499999998,0.80-0.88
RELIANCE.NS,2026-06-26,2026-07-27,1318.1,1320,1380,1340.79,1280.0,-2.89,0.1702,0.851,4,20.79,1.577,96,-1995.58,-100.0,False,710320.5699999998,0.80-0.88
APOLLO.NS,2026-06-29,2026-07-28,407.15,405,440,418.84,378.75,-6.98,0.6448,0.858,4,13.84,3.398,144,-1992.38,-100.0,False,708328.1899999998,0.80-0.88
ABB.NS,2026-06-29,2026-07-28,7045.06,7045,7525,7204.93,7159.22,1.62,0.2388,0.832,5,159.93,2.27,12,-548.5,-28.58,False,707779.6899999998,0.80-0.88
ABB.NS,2026-06-30,2026-07-29,6949.19,6950,7420,7106.21,7225.44,3.98,0.2362,0.822,5,156.21,2.248,12,1430.72,76.32,True,709210.4099999998,0.80-0.88
TITAN.NS,2026-06-30,2026-07-29,4389.6,4390,4730,4501.55,4850.2,10.49,0.2711,0.808,5,111.55,2.541,17,3883.61,204.79,True,713094.0199999998,0.80-0.88
BHARTIARTL.NS,2026-06-30,2026-07-29,1828.98,1830,1915,1859.58,1950.2,6.63,0.1678,0.777,4,29.58,1.617,67,3713.36,187.39,True,716807.3799999998,0.70-0.80
BAJFINANCE.NS,2026-06-30,2026-07-29,1004.75,1005,1085,1031.36,1054.4,4.94,0.2859,0.853,5,26.36,2.624,75,1727.63,87.37,True,718535.0099999998,0.80-0.88
ANGELONE.NS,2026-07-01,2026-07-30,339.35,340,365,348.93,291.65,-14.06,0.3581,0.828,4,8.93,2.633,223,-1992.29,-100.0,False,716542.7199999997,0.80-0.88
BHARTIARTL.NS,2026-07-01,2026-07-30,1847.75,1850,1940,1880.38,1956.8,5.9,0.1703,0.786,4,30.38,1.644,65,3874.99,196.2,True,720417.7099999997,0.70-0.80
TITAN.NS,2026-07-01,2026-07-30,4384.21,4385,4725,4496.45,4850.0,10.62,0.2717,0.843,5,111.45,2.542,17,3885.4,205.08,True,724303.1099999998,0.80-0.88
RELIANCE.NS,2026-07-01,2026-07-30,1308.0,1310,1375,1332.11,1292.9,-1.15,0.1815,0.791,4,22.11,1.69,90,-1989.67,-100.0,False,722313.4399999997,0.70-0.80
ANANTRAJ.NS,2026-07-02,2026-07-31,536.77,535,580,551.49,624.5,16.34,0.392,0.655,4,16.49,3.072,121,3450.01,172.93,True,725763.4499999997,<0.70
ANGELONE.NS,2026-07-02,2026-07-31,345.08,345,375,355.34,297.95,-13.66,0.3616,0.845,5,10.34,2.995,193,-1994.79,-100.0,False,723768.6599999997,0.80-0.88
RELIANCE.NS,2026-07-02,2026-07-31,1303.5,1305,1370,1327.17,1307.8,0.33,0.1799,0.804,4,22.17,1.701,90,-1743.33,-87.37,False,722025.3299999997,0.80-0.88
BHARTIARTL.NS,2026-07-02,2026-07-31,1851.7,1850,1940,1881.74,1972.0,6.5,0.1696,0.832,4,31.74,1.714,63,3670.61,183.59,True,725695.9399999997,0.80-0.88
ANANTRAJ.NS,2026-07-03,2026-08-03,553.79,555,600,570.93,626.15,13.07,0.3962,0.748,4,15.93,2.877,125,3633.57,182.46,True,729329.5099999997,0.70-0.80
RELIANCE.NS,2026-07-06,2026-08-04,1321.3,1320,1385,1342.56,1290.9,-2.3,0.1636,0.706,4,22.56,1.708,88,-1985.4,-100.0,False,727344.1099999996,0.70-0.80
ABCAPITAL.NS,2026-07-06,2026-08-04,409.75,410,445,421.96,420.0,2.5,0.3535,0.879,4,11.96,2.919,167,-327.48,-16.39,False,727016.6299999997,0.80-0.88
ANANTRAJ.NS,2026-07-06,2026-08-04,550.0,550,595,565.47,630.4,14.62,0.3336,0.783,4,15.47,2.812,129,3809.88,190.96,True,730826.5099999997,0.70-0.80
ABREL.NS,2026-07-07,2026-08-05,1407.35,1405,1520,1446.93,1421.2,0.98,0.3929,0.868,4,41.93,2.979,47,-1209.28,-61.36,False,729617.2299999996,0.80-0.88
AJMERA.NS,2026-07-13,2026-08-11,136.74,135,150,140.48,121.87,-10.87,0.4281,0.765,4,5.48,4.004,365,-1998.51,-100.0,False,727618.7199999996,0.70-0.80
AJMERA.NS,2026-07-14,2026-08-12,135.4,135,145,138.82,117.48,-13.23,0.4004,0.727,4,3.82,2.82,523,-1997.02,-100.0,False,725621.6999999996,0.70-0.80
AIIL.NS,2026-07-16,2026-08-14,519.65,520,560,533.2,564.9,8.71,0.2792,0.71,5,13.2,2.541,151,4046.36,202.96,True,729668.0599999996,0.70-0.80
TITAN.NS,2026-07-16,2026-08-14,4625.8,4625,4865,4707.81,5056.2,9.3,0.1821,0.794,5,82.81,1.79,24,3772.48,189.81,True,733440.5399999996,0.70-0.80
TITAN.NS,2026-07-17,2026-08-17,4638.1,4640,4880,4721.87,5068.5,9.28,0.1813,0.833,4,81.87,1.765,24,3795.06,193.14,True,737235.5999999996,0.80-0.88
TITAN.NS,2026-07-21,2026-08-19,4688.7,4690,4905,4764.72,5068.0,8.09,0.1612,0.783,4,74.72,1.594,26,3647.31,187.75,True,740882.9099999997,0.70-0.80
TITAN.NS,2026-07-22,2026-08-20,4711.6,4710,4930,4786.83,5068.0,7.56,0.1612,0.783,4,76.83,1.631,26,3722.36,186.34,True,744605.2699999997,0.70-0.80
APARINDS.NS,2026-07-24,2026-08-24,13889.0,13890,15000,14311.2,16705.0,20.28,0.5044,0.86,4,421.2,3.033,4,2755.2,163.53,True,747360.4699999996,0.80-0.88
