Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
VEDL.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,35.34603500366211,33.13794708251953,10000.0,-624.7059736442297,-6.247059736442306,Stop Loss,-624.7059736442297,99375.29402635577
AUSOMENT.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,22.438806533813477,20.58081817626953,10000.0,-828.0245897856039,-8.280245897856053,Stop Loss,-1452.7305634298336,98547.26943657016
THANGAMAYL.NS,2016-04-26 00:00:00+05:30,2016-04-29 00:00:00+05:30,95.5077133178711,89.0376205444336,10000.0,-677.4419100479954,-6.774419100479956,Stop Loss,-2130.172473477829,97869.82752652217
MANAKCOAT.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,3.93074369430542,3.681962251663208,9273.634718285084,-586.9393690293873,-6.329118914637677,Stop Loss,-2717.1118425072164,97282.88815749278
SHREERAMA.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,5.24412202835083,4.9819159507751465,9273.634718285084,-463.6816937526346,-4.999999545360357,Stop Loss,-3180.793536259851,96819.20646374015
SESHAPAPER.NS,2016-04-26 00:00:00+05:30,2016-05-02 00:00:00+05:30,41.992366790771484,40.227840423583984,10000.0,-420.2016942696555,-4.2020169426965515,Stop Loss,-3600.9952305295064,96399.0047694705
JMA.NS,2016-04-29 00:00:00+05:30,2016-05-02 00:00:00+05:30,28.567766189575195,27.774219512939453,8939.735487913384,-248.32523969007343,-2.7777694320577306,UT Sell,-3849.32047021958,96150.67952978042
GMRAIRPORT.NS,2016-04-29 00:00:00+05:30,2016-05-04 00:00:00+05:30,11.351698875427246,10.721049308776855,8939.735487913382,-496.65167947907685,-5.555552288438015,Stop Loss,-4345.972149698657,95654.02785030134
VEDL.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,36.75721740722656,34.74835205078125,9135.604276976828,-499.28150814278706,-5.465226962611059,Stop Loss,-4845.253657841444,95154.74634215856
INDRAMEDCO.NS,2016-05-04 00:00:00+05:30,2016-05-06 00:00:00+05:30,46.56990432739258,44.425506591796875,8539.703288634173,-393.226498084834,-4.6046857226081155,Stop Loss,-5238.480155926278,94761.51984407371
GOKULAGRO.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,6.363330841064453,6.089907169342041,8146.476790549339,-350.0430279845086,-4.29686399389968,Stop Loss,-5588.523183910786,94411.47681608921
LTF.NS,2016-04-26 00:00:00+05:30,2016-05-13 00:00:00+05:30,60.044464111328125,61.39567184448242,10000.0,225.0345228577644,2.250345228577655,UT Sell,-5363.488661053022,94636.51133894698
KHAITANLTD.NS,2016-04-26 00:00:00+05:30,2016-05-16 00:00:00+05:30,10.800000190734863,10.300000190734863,10000.0,-462.96295478674256,-4.629629547867431,Stop Loss,-5826.451615839765,94173.54838416024
TAINWALCHM.NS,2016-04-25 00:00:00+05:30,2016-05-17 00:00:00+05:30,38.28171920776367,45.78020477294922,10000.0,1958.7640577189177,19.5876405771892,UT Sell,-3867.687558120847,96132.31244187916
PUNJABCHEM.NS,2016-05-02 00:00:00+05:30,2016-05-19 00:00:00+05:30,163.3927459716797,167.473876953125,9135.604276976828,228.18392228659104,2.497743065137481,UT Sell,-3639.503635834256,96360.49636416574
TANLA.NS,2016-05-16 00:00:00+05:30,2016-05-19 00:00:00+05:30,34.63459777832031,34.726341247558594,9537.037045213257,25.262625262233996,0.2648896627167163,UT Sell,-3614.241010572022,96385.75898942798
USHAMART.NS,2016-05-09 00:00:00+05:30,2016-05-20 00:00:00+05:30,13.5066499710083,12.881787300109863,7796.43376256483,-360.68902613275714,-4.626333489352952,Stop Loss,-3974.930036704779,96025.06996329522
SOMATEX.NS,2016-05-19 00:00:00+05:30,2016-05-20 00:00:00+05:30,6.300000190734863,5.5,9463.043934869456,-1201.656622798435,-12.698415341500924,Stop Loss,-5176.586659503214,94823.41334049679
BALRAMCHIN.NS,2016-04-29 00:00:00+05:30,2016-05-24 00:00:00+05:30,93.61839294433594,90.51526641845703,8939.735487913382,-296.32136863724554,-3.31465476845344,UT Sell,-5472.9080281404595,94527.09197185954
AUSOMENT.NS,2016-05-20 00:00:00+05:30,2016-05-24 00:00:00+05:30,21.86712074279785,20.81902313232422,7848.566024251548,-376.1841072913958,-4.7930297856833,Stop Loss,-5849.092135431855,94150.90786456814
ASAL.NS,2016-04-26 00:00:00+05:30,2016-05-25 00:00:00+05:30,38.04999923706055,38.29999923706055,10000.0,65.70302365643693,0.6570302365643599,UT Sell,-5783.389111775418,94216.61088822458
MAGNUM.NS,2016-05-17 00:00:00+05:30,2016-05-25 00:00:00+05:30,2.765316963195801,2.6222829818725586,11958.764057718918,-618.558254856991,-5.172426279768727,Stop Loss,-6401.947366632409,93598.0526333676
PFC.NS,2016-05-13 00:00:00+05:30,2016-05-26 00:00:00+05:30,39.912132263183594,38.276763916015625,10225.034522857764,-418.9627779622806,-4.097421647092736,Stop Loss,-6820.91014459469,93179.08985540531
ZENITHSTL.NS,2016-05-19 00:00:00+05:30,2016-05-31 00:00:00+05:30,0.75,0.699999988079071,9463.043934869456,-630.8697460689964,-6.666668256123865,Stop Loss,-7451.779890663686,92548.22010933631
WEBELSOLAR.NS,2016-05-20 00:00:00+05:30,2016-05-31 00:00:00+05:30,5.085000038146973,4.65500020980835,7848.566024251548,-663.6936121562658,-8.456240415198103,Stop Loss,-8115.473502819952,91884.52649718005
EKC.NS,2016-05-24 00:00:00+05:30,2016-05-31 00:00:00+05:30,16.180362701416016,15.10492992401123,8057.898018118144,-535.5706670846721,-6.6465307190590295,Stop Loss,-8651.044169904624,91348.95583009538
PREMIERPOL.NS,2016-05-31 00:00:00+05:30,2016-06-02 00:00:00+05:30,3.436715602874756,3.273923873901367,7846.457983976405,-371.67418230943986,-4.73684027963257,Stop Loss,-9022.718352214064,90977.28164778593
KOTHARIPET.NS,2016-05-31 00:00:00+05:30,2016-06-03 00:00:00+05:30,19.266403198242188,18.46548843383789,7846.457983976405,-326.1814871713068,-4.157053894093576,Stop Loss,-9348.89983938537,90651.10016061463
ADANIENT.NS,2016-05-26 00:00:00+05:30,2016-06-03 00:00:00+05:30,39.552242279052734,38.4580192565918,9806.071744895484,-271.2875135489121,-2.7665258893310507,UT Sell,-9620.187352934283,90379.81264706572
CANBK.NS,2016-05-25 00:00:00+05:30,2016-06-03 00:00:00+05:30,32.79173278808594,32.60517501831055,10702.954413259182,-60.89093608590156,-0.5689170834033308,UT Sell,-9681.078289020184,90318.92171097982
