Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
SESHAPAPER.NS,2016-04-26 00:00:00+05:30,2016-04-27 00:00:00+05:30,41.992366790771484,41.39006042480469,5000.0,-71.71617272346339,-1.4343234544692662,Stop Loss,-71.71617272346339,99928.28382727654
HUBTOWN.NS,2016-04-26 00:00:00+05:30,2016-04-27 00:00:00+05:30,109.5999984741211,106.44999694824219,5000.0,-143.70445117399777,-2.874089023479953,Stop Loss,-215.42062389746116,99784.57937610254
AUSOMENT.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,22.43880844116211,20.5808162689209,5000.0,-414.01310972308147,-8.28026219446163,Stop Loss,-629.4337336205426,99370.56626637946
THANGAMAYL.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,95.50770568847656,92.51102447509766,5000.0,-156.88164592464273,-3.1376329184928498,Stop Loss,-786.3153795451854,99213.68462045482
CENTURYPLY.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,179.08209228515625,176.27029418945312,5000.0,-78.50584220408382,-1.5701168440816704,Stop Loss,-864.8212217492692,99135.17877825073
BASF.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,899.0596313476562,886.865234375,5000.0,-67.81750924784228,-1.356350184956845,Stop Loss,-932.6387309971115,99067.36126900288
MASTEK.NS,2016-04-27 00:00:00+05:30,2016-04-29 00:00:00+05:30,129.34718322753906,127.7638931274414,4983.4291827771185,-61.00027764616152,-1.2240622954366454,Stop Loss,-993.639008643273,99006.36099135672
MANAKCOAT.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,3.930743455886841,3.681962251663208,4936.933837190823,-312.4641327963818,-6.329113233046235,Stop Loss,-1306.1031414396548,98693.89685856034
SHREERAMA.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,5.24412202835083,4.9819159507751465,4936.933837190823,-246.8466694142826,-4.999999545360357,Stop Loss,-1552.9498108539374,98447.05018914606
CGCL.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,26.1557674407959,25.461528778076172,4936.933837190823,-131.03841639612074,-2.654246962132345,Stop Loss,-1683.9882272500581,98316.01177274995
JMA.NS,2016-04-29 00:00:00+05:30,2016-05-02 00:00:00+05:30,28.567766189575195,27.77422332763672,4886.587112143206,-135.73747055857802,-2.7777560789056466,Stop Loss,-1819.7256978086361,98180.27430219136
BSOFT.NS,2016-04-28 00:00:00+05:30,2016-05-02 00:00:00+05:30,84.4136734008789,83.54884338378906,4936.933837190823,-50.57958506926843,-1.0245141364513155,Stop Loss,-1870.3052828779046,98129.6947171221
JTEKTINDIA.NS,2016-04-27 00:00:00+05:30,2016-05-02 00:00:00+05:30,48.5017204284668,47.17291259765625,4983.429182777119,-136.53164596770512,-2.739712775282588,Stop Loss,-2006.8369288456097,97993.16307115438
GMRAIRPORT.NS,2016-04-29 00:00:00+05:30,2016-05-03 00:00:00+05:30,11.351698875427246,11.081419944763184,4886.587112143206,-116.34747836077895,-2.3809557814216564,Stop Loss,-2123.1844072063886,97876.81559279362
PUNJABCHEM.NS,2016-05-02 00:00:00+05:30,2016-05-03 00:00:00+05:30,163.3927459716797,158.77073669433594,4874.03997600649,-137.87550881329207,-2.8287726299335625,Stop Loss,-2261.0599160196807,97738.94008398031
SOLARINDS.NS,2016-05-02 00:00:00+05:30,2016-05-03 00:00:00+05:30,664.3016357421875,650.0399780273438,4874.03997600649,-104.63904661111974,-2.1468647595470625,Stop Loss,-2365.6989626308005,97634.3010373692
UNITEDTEA.NS,2016-05-02 00:00:00+05:30,2016-05-03 00:00:00+05:30,478.4471130371094,457.45281982421875,4874.03997600649,-213.87321942037488,-4.388007083922407,Stop Loss,-2579.5721820511753,97420.42781794883
VEDL.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,36.75721740722656,34.74836349487305,4874.03997600649,-266.37582944031783,-5.465195828339741,Stop Loss,-2845.948011491493,97154.05198850851
POONAWALLA.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,92.62358856201172,90.02667999267578,4874.03997600649,-136.65456475488463,-2.8037226905728185,Stop Loss,-2982.602576246378,97017.39742375362
GABRIEL.NS,2016-05-03 00:00:00+05:30,2016-05-04 00:00:00+05:30,84.02787780761719,81.0510482788086,4794.013102139512,-169.83601319335594,-3.542668940924676,Stop Loss,-3152.4385894397337,96847.56141056027
LFIC.NS,2016-05-03 00:00:00+05:30,2016-05-04 00:00:00+05:30,23.377099990844727,23.060718536376953,4794.013102139511,-64.8813085706297,-1.3533819617988496,Stop Loss,-3217.3198980103634,96782.68010198964
KALYANIFRG.NS,2016-05-03 00:00:00+05:30,2016-05-04 00:00:00+05:30,250.46897888183594,239.7196044921875,4794.013102139512,-205.74460715188707,-4.291698891270556,Stop Loss,-3423.0645051622505,96576.93549483774
SASTASUNDR.NS,2016-05-04 00:00:00+05:30,2016-05-05 00:00:00+05:30,80.0999984741211,76.8499984741211,4718.075482653166,-191.43252947223027,-4.057428292024268,Stop Loss,-3614.4970346344808,96385.50296536552
INDRAMEDCO.NS,2016-05-04 00:00:00+05:30,2016-05-05 00:00:00+05:30,46.569908142089844,45.23471450805664,4718.075482653166,-135.27070592679866,-2.8670737978683247,Stop Loss,-3749.7677405612794,96250.23225943872
WABAG.NS,2016-05-02 00:00:00+05:30,2016-05-05 00:00:00+05:30,574.098876953125,563.5791625976562,4874.03997600649,-89.31128480314146,-1.8323872032809607,Stop Loss,-3839.079025364421,96160.92097463558
PGHH.NS,2016-05-02 00:00:00+05:30,2016-05-06 00:00:00+05:30,5446.3447265625,5278.89501953125,4874.03997600649,-149.8540042939976,-3.074533754989417,Stop Loss,-3988.9330296584185,96011.06697034158
BASML.NS,2016-05-02 00:00:00+05:30,2016-05-06 00:00:00+05:30,69.68595123291016,67.1313705444336,4874.03997600649,-178.67487172491565,-3.6658474818524467,Stop Loss,-4167.607901383334,95832.39209861666
FEDERALBNK.NS,2016-05-04 00:00:00+05:30,2016-05-06 00:00:00+05:30,44.706787109375,44.111915588378906,4718.075482653166,-62.77903021019665,-1.3306067366029795,Stop Loss,-4230.386931593531,95769.61306840647
GENUSPOWER.NS,2016-05-05 00:00:00+05:30,2016-05-06 00:00:00+05:30,52.356910705566406,51.6175422668457,4689.181035225516,-66.21919464252915,-1.412169718871703,Stop Loss,-4296.60612623606,95703.39387376394
AVANTIFEED.NS,2016-05-05 00:00:00+05:30,2016-05-06 00:00:00+05:30,138.4731903076172,135.41839599609375,4689.181035225516,-103.44589822974922,-2.2060546916968127,Stop Loss,-4400.052024465809,95599.94797553419
AARTIDRUGS.NS,2016-05-05 00:00:00+05:30,2016-05-06 00:00:00+05:30,118.61298370361328,113.06269073486328,4689.181035225517,-219.42225645416602,-4.679330032384065,Stop Loss,-4619.474280919975,95380.52571908002
CGPOWER.NS,2016-05-05 00:00:00+05:30,2016-05-06 00:00:00+05:30,58.480323791503906,57.887611389160156,4689.181035225517,-47.52599808308605,-1.0135244880943306,Stop Loss,-4667.000279003061,95332.99972099694
ORIENTBELL.NS,2016-05-05 00:00:00+05:30,2016-05-06 00:00:00+05:30,150.3084716796875,146.97152709960938,4689.181035225518,-104.1028297716066,-2.220064207152117,Stop Loss,-4771.103108774668,95228.89689122533
NESTLEIND.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,247.36618041992188,242.89796447753906,4622.5045659229345,-83.49705913771959,-1.8063164232061557,Stop Loss,-4854.600167912387,95145.39983208761
MANAKSIA.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,26.340259552001953,25.236175537109375,4622.5045659229345,-193.7579009017618,-4.191621622835006,Stop Loss,-5048.358068814149,94951.64193118585
POWERMECH.NS,2016-05-05 00:00:00+05:30,2016-05-09 00:00:00+05:30,299.2621154785156,294.7522888183594,4689.181035225517,-70.66512115355727,-1.5069821493927216,Stop Loss,-5119.0231899677065,94880.9768100323
GOKULAGRO.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,6.363330841064453,6.089907169342041,4622.5045659229345,-198.62273430951154,-4.29686399389968,Stop Loss,-5317.645924277218,94682.35407572277
CESC.NS,2016-05-06 00:00:00+05:30,2016-05-10 00:00:00+05:30,34.23480224609375,33.67936325073242,4622.504565922934,-74.9973454992678,-1.6224396196846902,Stop Loss,-5392.643269776486,94607.35673022352
APOLLOTYRE.NS,2016-05-06 00:00:00+05:30,2016-05-10 00:00:00+05:30,137.02279663085938,131.4573516845703,4622.5045659229345,-187.7519311251599,-4.061692713280706,Stop Loss,-5580.395200901646,94419.60479909835
USHAMART.NS,2016-05-09 00:00:00+05:30,2016-05-10 00:00:00+05:30,13.5066499710083,13.362449645996094,4502.537979372943,-48.07020552091217,-1.0676246539425338,Stop Loss,-5628.465406422558,94371.53459357744
RECLTD.NS,2016-05-09 00:00:00+05:30,2016-05-10 00:00:00+05:30,30.287715911865234,29.823945999145508,4502.537979372943,-68.9435166318699,-1.5312145493878049,Stop Loss,-5697.408923054428,94302.59107694557
