Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
SAKHTISUG.NS,2016-04-29 00:00:00+05:30,2016-05-03 00:00:00+05:30,39.04999923706055,37.099998474121094,5000.0,-249.68000013285473,-4.993600002657095,UT Sell,-249.68000013285473,99750.31999986715
CREST.NS,2016-04-25 00:00:00+05:30,2016-05-04 00:00:00+05:30,35.1984748840332,36.099952697753906,5000.0,128.05637413137356,2.5611274826274677,UT Sell,-121.62362600148117,99878.37637399852
RAJESHEXPO.NS,2016-04-29 00:00:00+05:30,2016-05-04 00:00:00+05:30,586.3677368164062,565.9159545898438,5000.0,-174.39382270247552,-3.487876454049521,UT Sell,-296.0174487039567,99703.98255129604
NMDC.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,13.647821426391602,13.046225547790527,5000.0,-220.39996707376758,-4.407999341475355,UT Sell,-516.4174157777243,99483.58258422227
KICL.NS,2016-05-02 00:00:00+05:30,2016-05-05 00:00:00+05:30,1678.0999755859375,1487.5999755859375,5000.0,-567.6062295796282,-11.35212459159256,UT Sell,-1084.0236453573525,98915.97635464265
AVTNPL.NS,2016-05-02 00:00:00+05:30,2016-05-06 00:00:00+05:30,30.91959571838379,29.71841049194336,5000.0,-194.24335903044266,-3.884867180608842,UT Sell,-1278.2670043877952,98721.7329956122
MOTOGENFIN.NS,2016-04-27 00:00:00+05:30,2016-05-10 00:00:00+05:30,21.0,21.225000381469727,5000.0,53.57151939755386,1.0714303879510778,UT Sell,-1224.6954849902413,98775.30451500976
DSSL.NS,2016-04-29 00:00:00+05:30,2016-05-10 00:00:00+05:30,13.402478218078613,12.780220031738281,5000.0,-232.14295752444013,-4.6428591504888095,UT Sell,-1456.8384425146814,98543.16155748532
SANCO.NS,2016-05-04 00:00:00+05:30,2016-05-11 00:00:00+05:30,39.83333206176758,40.45833206176758,4911.087528118376,77.05681513950094,1.5690377069908168,UT Sell,-1379.7816273751805,98620.21837262482
KIRLOSIND.NS,2016-05-02 00:00:00+05:30,2016-05-11 00:00:00+05:30,578.6349487304688,539.6441040039062,5000.0,-336.92092753910583,-6.7384185507821215,UT Sell,-1716.7025549142863,98283.29744508571
