Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Market Cap Cr,Cumulative Profit,Equity
APOLLOHOSP.NS,2016-05-30 00:00:00+05:30,2016-05-31 00:00:00+05:30,1357.0986328125,1328.04638671875,5000.0,-107.03807885187052,-2.140761577037409,Drawdown,109995.2553984,-107.03807885187052,99892.96192114813
ELGIEQUIP.NS,2016-05-30 00:00:00+05:30,2016-06-01 00:00:00+05:30,84.13707733154297,80.36688995361328,5000.0,-224.05029372919762,-4.481005874583954,Drawdown,17250.0140032,-331.08837258106814,99668.91162741893
FIEMIND.NS,2016-05-31 00:00:00+05:30,2016-06-01 00:00:00+05:30,350.4639892578125,340.8822326660156,4994.053440063785,-136.53843457769835,-2.734020294663775,Drawdown,5728.4739072,-467.6268071587665,99532.37319284123
ASHOKLEY.NS,2016-05-31 00:00:00+05:30,2016-06-01 00:00:00+05:30,45.455020904541016,43.57756805419922,4994.053440063785,-206.27203946286863,-4.130353067672299,Drawdown,95479.5032576,-673.8988466216351,99326.10115337836
ADOR.NS,2016-05-31 00:00:00+05:30,2016-06-03 00:00:00+05:30,252.72947692871094,250.72091674804688,4994.053440063785,-39.69009472785001,-0.7947470968060588,Drawdown,1881.2444672,-713.5889413494851,99286.41105865051
ANANTRAJ.NS,2016-06-01 00:00:00+05:30,2016-06-06 00:00:00+05:30,16.575504302978516,19.645042419433594,4961.058486661811,918.7146191404245,18.518520223264034,Drawdown,17490.018304,205.12567779093933,100205.12567779094
CHAMBLFERT.NS,2016-06-02 00:00:00+05:30,2016-06-06 00:00:00+05:30,53.409271240234375,51.37501525878906,4961.05848666181,-188.9571354643249,-3.8088068498355776,Drawdown,17510.5081344,16.168542326614443,100016.16854232662
BHARATRAS.NS,2016-06-02 00:00:00+05:30,2016-06-06 00:00:00+05:30,286.5303649902344,285.48309326171875,4961.058486661811,-18.132724944424808,-0.3655011323324575,Drawdown,2307.0048256,-1.9641826178103656,99998.03581738219
FILATEX.NS,2016-06-03 00:00:00+05:30,2016-06-07 00:00:00+05:30,6.662471771240234,6.510158061981201,4960.500558217988,-113.40419378062779,-2.286144159237158,Drawdown,2024.9061376,-115.36837639843816,99884.63162360156
GPIL.NS,2016-06-06 00:00:00+05:30,2016-06-08 00:00:00+05:30,14.740110397338867,14.385662078857422,5015.369676992075,-120.60217329807892,-2.4046517219127206,Drawdown,19295.4548224,-235.97054969651708,99764.02945030348
BSOFT.NS,2016-06-07 00:00:00+05:30,2016-06-09 00:00:00+05:30,97.64835357666016,93.74347686767578,5000.072103123464,-199.94873834100235,-3.9989170999373824,Drawdown,10313.0431488,-435.91928803751944,99564.08071196248
EXIDEIND.NS,2016-06-06 00:00:00+05:30,2016-06-09 00:00:00+05:30,146.16827392578125,144.35922241210938,5015.369676992075,-62.072718395740594,-1.2376499120393514,Drawdown,30557.5002112,-497.99200643326003,99502.00799356675
